,date,open,low,high,h_o,pct_chg,volume,close
0,1/7/2011,15.82,15.78,16.72,1.82704019488427,-1.7942583732057247,239655616,16.42
1,1/14/2011,16.71,15.64,16.71,4.633688165309957,-4.428485936564932,242963398,15.97
2,1/21/2011,16.19,15.60,16.38,3.7365421152628238,-3.6019536019536016,138428495,15.79
3,1/28/2011,15.87,15.82,16.63,3.0998140111593306,-3.006614552014432,151379173,16.13
4,2/4/2011,16.18,16.18,17.39,1.4585764294049008,-1.437607820586544,154387761,17.14
5,2/11/2011,17.33,16.97,17.48,0.6332757628094382,-0.629290617848967,114691279,17.37
6,2/18/2011,17.39,17.28,17.68,2.3148148148148064,-2.262443438914019,80023895,17.28
7,2/25/2011,16.98,15.96,17.15,2.8177458033573073,-2.740524781341102,132981863,16.68
8,3/4/2011,16.81,16.13,16.94,2.1712907117008626,-2.125147579693052,109493077,16.58
9,3/11/2011,16.58,15.42,16.75,4.491578290704921,-4.298507462686561,114332562,16.03
10,3/18/2011,15.95,15.43,16.33,1.3656114214773363,-1.3472137170851126,130374108,16.11
11,3/25/2011,16.38,16.26,17.24,0.8777062609713199,-0.8700696055684373,95550392,17.09
360,4/1/2011,17.13,17.02,17.80,1.8889524899828383,-1.853932584269673,103320396,17.47
361,4/8/2011,17.42,17.42,18.47,3.0691964285714124,-2.977801840822941,129237024,17.92
362,4/15/2011,18.06,16.38,18.19,10.108958837772409,-9.180868609125902,213061090,16.52
363,4/21/2011,16.36,15.88,16.97,0.0,0.0,85235391,16.97
364,4/29/2011,16.94,16.66,17.24,1.4117647058823437,-1.392111368909504,90831895,17.00
365,5/6/2011,17.27,16.83,17.96,4.723032069970859,-4.510022271714934,225053559,17.15
366,5/13/2011,17.16,16.75,17.62,3.040935672514617,-2.951191827468783,111630753,17.10
367,5/20/2011,17.00,16.26,17.29,6.334563345633441,-5.957200694042786,118281015,16.26
368,5/27/2011,15.96,15.83,16.48,0.0,0.0,77236662,16.48
369,6/3/2011,16.73,15.77,16.83,5.71608040201004,-5.407011289364221,77152591,15.92
370,6/10/2011,15.92,15.17,16.03,4.908376963350798,-4.678727386150978,94970970,15.28
371,6/17/2011,15.29,14.59,15.50,5.298913043478256,-5.032258064516125,111273573,14.72
372,6/24/2011,14.67,14.56,15.60,2.429415627051866,-2.371794871794867,99423717,15.23
