,date,open,low,high,h_o,pct_chg,volume,close
12,1/7/2011,43.30,43.11,45.60,2.795311091073043,-2.7192982456140395,45102042,44.36
13,1/14/2011,44.20,44.01,46.25,0.0,0.0,25913713,46.25
14,1/21/2011,46.03,44.71,46.71,1.5434782608695672,-1.520017126953545,38824728,46.00
15,1/28/2011,46.05,43.42,46.27,5.494756041951673,-5.208558461205973,51427274,43.86
16,2/4/2011,44.13,43.15,44.23,0.9356458238247298,-0.9269726430024794,39501680,43.82
17,2/11/2011,43.96,43.88,46.79,0.08556149732620139,-0.08548835221200929,43746998,46.75
18,2/18/2011,46.42,45.53,46.93,3.074895673182514,-2.983166418069462,28564910,45.53
19,2/25/2011,44.94,43.01,45.12,3.65265334252239,-3.523936170212758,39654146,43.53
20,3/4/2011,43.73,42.75,44.68,2.1957913998170193,-2.1486123545210405,38985037,43.72
21,3/11/2011,43.86,43.53,45.54,2.845528455284548,-2.766798418972328,37613429,44.28
22,3/18/2011,43.86,42.19,44.47,0.6791940230925904,-0.6746120980436185,41757526,44.17
23,3/25/2011,44.75,44.10,45.61,0.04386926957665282,-0.04385003288751594,30798332,45.59
373,4/1/2011,45.54,45.11,46.29,2.05026455026455,-2.009073233959818,28738689,45.36
374,4/8/2011,45.61,45.10,46.49,0.45375972342264664,-0.4517100451710063,31114741,46.28
375,4/15/2011,46.36,45.60,46.95,1.5135135135135198,-1.490947816826417,29090940,46.25
376,4/21/2011,45.85,45.27,47.48,0.7853958819783432,-0.7792754844144849,22929313,47.11
377,4/29/2011,47.19,46.77,49.15,0.1426242868785662,-0.14242115971515826,32470319,49.08
378,5/6/2011,49.37,49.08,50.47,0.5378486055776813,-0.5349712700614148,43997724,50.20
379,5/13/2011,50.06,49.22,50.46,1.9599919175591003,-1.922314704716605,35427164,49.49
380,5/20/2011,49.42,49.17,51.97,1.5237351045126024,-1.5008658841639428,36565612,51.19
381,5/27/2011,50.74,49.79,51.38,0.4889497359671426,-0.4865706500583884,26359875,51.13
382,6/3/2011,51.39,49.04,51.70,4.910714285714289,-4.680851063829791,25215640,49.28
383,6/10/2011,49.13,47.33,49.38,3.4352744030163396,-3.3211826650465786,33828918,47.74
384,6/17/2011,47.96,46.92,49.14,1.3195876288659805,-1.3024013024013035,37705374,48.50
385,6/24/2011,48.35,48.15,50.15,3.744311129499369,-3.6091724825523337,34877916,48.34
