,date,open,low,high,h_o,pct_chg,volume,close
24,1/7/2011,66.15,66.00,70.10,1.0377630441049277,-1.0271041369472167,36258120,69.38
25,1/14/2011,69.42,68.35,70.50,0.6136720422434806,-0.609929078014194,18834664,70.07
26,1/21/2011,70.86,70.23,72.99,1.8275669642856973,-1.794766406357019,29594221,71.68
27,1/28/2011,71.52,69.00,72.82,5.185613173479689,-4.9299642955231935,34929673,69.23
28,2/4/2011,69.26,69.12,71.64,0.3642476884281383,-0.362925739810169,22770062,71.38
29,2/11/2011,71.43,71.15,72.99,1.1782644857221989,-1.1645430880942518,21809411,72.14
30,2/18/2011,72.70,71.09,73.04,0.0,0.0,15989248,73.04
31,2/25/2011,72.35,70.00,74.29,2.752420470262807,-2.6786916139453614,26258425,72.30
32,3/4/2011,72.47,68.60,72.90,1.532033426183856,-1.50891632373115,27527285,71.80
33,3/11/2011,71.60,69.91,72.50,1.2004466778336118,-1.1862068965517234,25556296,71.64
34,3/18/2011,71.17,67.34,71.23,3.082489146164993,-2.9903130703355463,29746370,69.10
35,3/25/2011,70.29,70.03,73.50,0.21816198527406133,-0.21768707482992733,24423545,73.34
386,4/1/2011,73.50,73.03,74.85,1.134981759221712,-1.1222444889779415,20590618,74.01
387,4/8/2011,73.38,72.71,74.85,1.878317680685988,-1.843687374749493,21220138,73.47
388,4/15/2011,73.65,70.88,74.28,2.314049586776869,-2.2617124394184263,19492289,72.60
389,4/21/2011,72.72,71.75,75.44,0.0,0.0,16947409,75.44
390,4/29/2011,75.51,74.68,80.34,0.7019303083479598,-0.6970375902414765,30503034,79.78
391,5/6/2011,80.35,78.09,80.65,1.6895725633589753,-1.6615003099814052,25394946,79.31
392,5/13/2011,79.31,78.48,80.42,1.7588257623687216,-1.7284257647351413,18368201,79.03
393,5/20/2011,78.66,75.83,78.81,1.6640866873065097,-1.6368481157213632,19990094,77.52
394,5/27/2011,76.55,75.13,76.99,0.0,0.0,15886795,76.99
395,6/3/2011,77.80,74.09,78.35,4.6900053447354235,-4.479897894065081,17813730,74.84
396,6/10/2011,74.76,72.61,75.27,3.549319026000823,-3.427660422479073,18574466,72.69
397,6/17/2011,73.06,72.69,75.51,1.8203883495145747,-1.7878426698450647,25381159,74.16
398,6/24/2011,73.96,70.29,75.02,5.276452427729429,-5.011996800853094,30675314,71.26
