,date,open,low,high,h_o,pct_chg,volume,close
60,1/7/2011,20.45,20.38,21.00,0.14306151645207982,-0.1428571428571483,303545878,20.97
61,1/14/2011,20.94,20.70,21.23,0.09429514380009228,-0.09420631182289012,154708263,21.21
62,1/21/2011,21.22,20.50,21.33,2.9440154440154416,-2.8598218471636168,193706863,20.72
63,1/28/2011,20.84,20.73,21.61,3.2489249880554216,-3.1466913465987956,265687272,20.93
64,2/4/2011,20.93,20.71,22.15,0.45351473922901525,-0.4514672686230152,236334561,22.05
65,2/11/2011,22.11,18.61,22.34,19.465240641711233,-16.293643688451212,1000362015,18.70
66,2/18/2011,18.84,18.56,18.95,0.5305039787798295,-0.5277044854881154,390258123,18.85
67,2/25/2011,18.73,18.23,18.74,0.5364806866952675,-0.5336179295624219,285212201,18.64
68,3/4/2011,18.62,18.31,18.79,2.1195652173913078,-2.0755721128259745,302059981,18.40
69,3/11/2011,18.36,17.76,18.37,2.3398328690807895,-2.2863364180729544,311209442,17.95
70,3/18/2011,17.81,16.97,17.88,4.317386231038497,-4.138702460850103,444161658,17.14
71,3/25/2011,17.34,17.20,17.64,2.08333333333333,-2.040816326530609,284574143,17.28
425,4/1/2011,17.36,16.99,17.60,3.286384976525835,-3.1818181818181945,308644641,17.04
426,4/8/2011,17.01,17.00,18.29,3.626062322946179,-3.4991798797156948,539982011,17.65
427,4/15/2011,17.71,16.97,17.76,4.286553141514976,-4.110360360360362,324203125,17.03
428,4/21/2011,16.88,16.52,16.96,0.11806375442738827,-0.11792452830188427,249420898,16.94
429,4/29/2011,16.93,16.90,17.64,0.6849315068493208,-0.680272108843543,412492845,17.52
430,5/6/2011,17.51,17.28,17.70,0.7972665148063816,-0.7909604519774044,290282402,17.56
431,5/13/2011,17.53,16.64,17.99,6.575829383886253,-6.170094496942744,563552552,16.88
432,5/20/2011,16.82,16.34,16.87,2.0568663036902595,-2.015411973918197,371711669,16.53
433,5/27/2011,16.41,16.11,16.46,0.0,0.0,235050333,16.46
434,6/3/2011,16.59,15.98,16.82,5.059337913803865,-4.815695600475617,256069538,16.01
435,6/10/2011,16.04,15.01,16.17,6.9444444444444615,-6.4935064935065085,412198054,15.12
436,6/17/2011,15.14,14.78,15.28,2.070808283233124,-2.0287958115183162,401380782,14.97
437,6/24/2011,14.94,14.92,15.64,4.755525787006034,-4.53964194373402,429730443,14.93
