,date,open,low,high,h_o,pct_chg,volume,close
120,1/7/2011,35.20,34.18,35.57,3.4613147178592136,-3.3455158841720483,56576860,34.38
121,1/14/2011,34.16,34.07,35.89,0.0,0.0,41918450,35.89
122,1/21/2011,35.97,35.48,36.99,1.3147082990961492,-1.2976480129764907,45249920,36.51
123,1/28/2011,36.46,36.30,38.12,3.86920980926429,-3.7250786988457367,63397367,36.70
124,2/4/2011,37.13,36.38,37.18,1.032608695652181,-1.0220548682087212,41844858,36.80
125,2/11/2011,36.80,36.41,37.48,0.0,0.0,36079400,37.48
126,2/18/2011,37.47,37.27,38.48,0.0,0.0,30619613,38.48
127,2/25/2011,39.30,36.78,39.38,6.202804746494079,-5.840528186896912,54816070,37.08
128,3/4/2011,37.15,36.33,37.86,1.7195056421278898,-1.690438457474909,49763519,37.22
129,3/11/2011,37.26,36.54,37.78,1.7232094776521285,-1.6940179989412403,49156185,37.14
130,3/18/2011,36.92,35.43,36.94,2.6111111111111045,-2.544667027612338,52758908,36.00
131,3/25/2011,36.29,36.03,37.82,1.0689470871191837,-1.0576414595452104,40337534,37.42
490,4/1/2011,37.46,36.62,37.87,0.825346112886036,-0.8185899128597707,52881329,37.56
491,4/8/2011,37.48,37.21,37.96,1.3347570742124932,-1.3171759747102214,47021433,37.46
492,4/15/2011,37.45,37.17,38.40,0.6025674613570785,-0.5989583333333253,42983064,38.17
493,4/21/2011,37.70,37.20,38.50,1.8518518518518594,-1.8181818181818257,24190528,37.80
494,4/29/2011,37.61,36.94,37.71,1.5074024226110425,-1.485017236807219,61019095,37.15
495,5/6/2011,37.44,36.77,37.67,1.8383346850500126,-1.8051499867268375,52439439,36.99
496,5/13/2011,36.93,36.70,37.43,1.1348284247500722,-1.1220945765428847,41391929,37.01
497,5/20/2011,36.69,36.55,37.94,2.402159244264509,-2.34580917237744,53378802,37.05
498,5/27/2011,36.00,36.00,37.00,2.7777777777777777,-2.7027027027027026,40673778,36.00
499,6/3/2011,36.18,34.43,36.28,4.76465492347675,-4.547960308710029,39307513,34.63
500,6/10/2011,34.53,33.42,35.02,4.631012847325977,-4.426042261564832,45606663,33.47
501,6/17/2011,33.46,33.41,34.93,1.158412974225307,-1.145147437732604,76297124,34.53
502,6/24/2011,34.29,34.28,35.69,1.7388825541619142,-1.7091622303166139,65416820,35.08
