,date,open,low,high,h_o,pct_chg,volume,close
132,1/7/2011,42.22,42.22,45.39,0.6653359946773056,-0.6609385327164511,100020724,45.09
133,1/14/2011,44.86,44.57,46.25,0.0,0.0,65464211,46.25
134,1/21/2011,46.14,45.76,47.64,0.8680923142070797,-0.8606213266162966,82623453,47.23
135,1/28/2011,46.69,45.36,47.83,5.097780707536806,-4.85051223081748,84066350,45.51
136,2/4/2011,45.41,45.13,47.52,0.18975332068311915,-0.18939393939394655,74475624,47.43
137,2/11/2011,47.71,47.61,49.39,1.541940789473684,-1.5185260174124315,84089936,48.64
138,2/18/2011,48.45,47.54,49.12,0.924594205876301,-0.9161237785016201,49401750,48.67
139,2/25/2011,47.57,42.08,48.55,13.753514526710397,-12.090628218331613,211147488,42.68
140,3/4/2011,43.06,42.06,43.85,2.9101149964797046,-2.8278221208665952,110702335,42.61
141,3/11/2011,42.90,41.26,43.05,3.1631919482386786,-3.066202090592335,85140794,41.73
142,3/18/2011,41.31,40.10,42.15,2.0087124878993183,-1.9691577698695097,121051768,41.32
143,3/25/2011,41.85,41.35,43.28,1.7634610862920292,-1.732902033271719,78089358,42.53
503,4/1/2011,42.42,37.60,42.83,4.514397266959496,-4.3194022881158105,90069975,40.98
504,4/8/2011,40.65,40.20,41.80,2.7027027027026884,-2.631578947368408,87672936,40.70
505,4/15/2011,40.71,40.12,41.55,3.204172876304022,-3.104693140794222,70321527,40.26
506,4/21/2011,39.96,39.16,41.19,0.48792388387410524,-0.48555474629763473,46244533,40.99
507,4/29/2011,41.06,39.99,41.30,2.3036908595491696,-2.2518159806295395,82362537,40.37
508,5/6/2011,40.69,39.80,41.52,1.739769664297968,-1.7100192678227382,70249698,40.81
509,5/13/2011,40.79,40.22,41.74,3.291264538480588,-3.186391950167718,63498759,40.41
510,5/20/2011,40.20,35.91,40.34,12.117843246247935,-10.808130887456633,217523955,35.98
511,5/27/2011,35.58,35.44,36.96,0.0,0.0,106507716,36.96
512,6/3/2011,37.28,36.00,37.52,3.9047355303240203,-3.757995735607685,79313559,36.11
513,6/10/2011,35.99,35.14,36.24,2.8085106382978777,-2.731788079470204,74301015,35.25
514,6/17/2011,35.13,33.95,35.32,0.914285714285715,-0.9060022650056633,134346312,35.00
515,6/24/2011,34.79,34.55,35.65,2.1489971346704873,-2.1037868162692845,102774442,34.90
