,date,open,low,high,h_o,pct_chg,volume,close
144,1/7/2011,147.21,146.64,148.86,0.6286757250050745,-0.6247480854494201,23492843,147.93
145,1/14/2011,147.00,146.00,150.00,0.0,0.0,15335348,150.00
146,1/21/2011,149.82,149.38,156.78,0.82315112540193,-0.8164306671769366,35770931,155.50
147,1/28/2011,155.42,155.33,164.35,3.228440424596436,-3.127471858837838,32510483,159.21
148,2/4/2011,159.18,158.68,164.20,0.12195121951218818,-0.12180267965894558,25377163,164.00
149,2/11/2011,164.08,163.18,166.25,1.4647543484894756,-1.4436090225563945,26106753,163.85
150,2/18/2011,164.18,162.52,164.84,0.0,0.0,14352613,164.84
151,2/25/2011,163.57,159.03,164.26,1.2201133842740879,-1.2054060635577681,21443811,162.28
152,3/4/2011,162.36,159.41,164.31,1.5324723475251742,-1.509342097255182,21549118,161.83
153,3/11/2011,161.60,158.85,167.72,3.2567875392476706,-3.1540663009778154,31119857,162.43
154,3/18/2011,161.16,151.71,161.98,3.9066008082622385,-3.7597234226447735,41827781,155.89
155,3/25/2011,157.64,157.07,162.74,0.34529535084474183,-0.3441071648027542,25381792,162.18
516,4/1/2011,161.54,161.12,164.42,0.09131308212088468,-0.09122977739932932,19081936,164.27
517,4/8/2011,164.42,163.16,164.75,0.4266991770801515,-0.42488619119877913,17615408,164.05
518,4/15/2011,163.44,162.30,166.34,0.07821430720173002,-0.07815318023325445,22183383,166.21
519,4/21/2011,164.64,162.19,168.28,0.0,0.0,23662621,168.28
520,4/29/2011,167.65,167.23,173.00,1.4186891780982456,-1.398843930635831,26829625,170.58
521,5/6/2011,172.11,167.50,173.54,2.7532713600568455,-2.6794975221850903,29480567,168.89
522,5/13/2011,168.39,167.82,172.77,1.677259887005663,-1.6495919430456807,23505533,169.92
523,5/20/2011,169.81,166.53,171.41,0.734602726845322,-0.7292456682807303,26027660,170.16
524,5/27/2011,168.50,165.90,168.60,0.6567164179104443,-0.6524317912218235,19453763,167.50
525,6/3/2011,168.44,164.13,169.89,2.9324447137230987,-2.8489022308552445,23349972,165.05
526,6/10/2011,164.76,162.87,165.96,1.70364015197941,-1.6751024343215237,20646079,163.18
527,6/17/2011,164.44,161.52,165.10,0.40136219897834874,-0.3997577225923662,29390025,164.44
528,6/24/2011,163.70,163.59,166.81,1.054098261343678,-1.0431029314789335,22984546,165.07
