,date,open,low,high,h_o,pct_chg,volume,close
204,1/7/2011,65.88,62.56,65.88,4.704386522568331,-4.493017607771697,59802189,62.92
205,1/14/2011,62.70,62.56,63.86,1.1563440519562758,-1.1431255872220434,31297830,63.13
206,1/21/2011,63.21,62.72,63.92,1.8320853911104007,-1.7991239048810992,36000586,62.77
207,1/28/2011,62.87,62.14,63.31,1.7682044687349325,-1.737482230295374,42141599,62.21
208,2/4/2011,62.32,61.89,63.48,1.4705882352941089,-1.4492753623188321,34863226,62.56
209,2/11/2011,62.67,62.32,64.75,1.856221488123328,-1.822393822393822,46269528,63.57
210,2/18/2011,63.67,62.55,64.72,0.2633617350890809,-0.26266996291718436,29937386,64.55
211,2/25/2011,63.36,63.33,64.40,0.13994713108381807,-0.13975155279503634,32331825,64.31
212,3/4/2011,64.17,63.86,65.87,1.012114706333401,-1.001973584332793,61665987,65.21
213,3/11/2011,65.32,64.47,65.84,1.5892609165252294,-1.5643985419198072,44560041,64.81
214,3/18/2011,64.34,61.29,64.61,3.046251993620409,-2.956198730846613,59542953,62.70
215,3/25/2011,63.13,63.05,65.39,0.2606562404170526,-0.25997858999847334,29853434,65.22
581,4/1/2011,65.20,65.03,67.48,0.38678964593871634,-0.3852993479549572,39265955,67.22
582,4/8/2011,67.22,66.86,67.82,0.8176007135424367,-0.8109702152757258,32024467,67.27
583,4/15/2011,67.25,66.41,68.47,0.67637112189383,-0.6718270775522036,40595470,68.01
584,4/21/2011,67.57,66.64,68.05,0.25044195639363837,-0.2498163115356381,19831270,67.88
585,4/29/2011,67.95,65.81,67.98,0.7708271568336944,-0.7649308620182557,44603365,67.46
586,5/6/2011,67.76,66.40,67.93,1.5396113602391646,-1.516266745178862,33947562,66.90
587,5/13/2011,66.86,66.83,68.77,0.8653564095042375,-0.8579322378944151,32166394,68.18
588,5/20/2011,68.10,67.50,68.70,0.5856515373352938,-0.582241630276573,32520067,68.30
589,5/27/2011,67.59,66.30,67.90,2.089911291535108,-2.047128129602357,26066805,66.51
590,6/3/2011,66.94,65.21,67.24,2.6094918358003873,-2.5431290898274743,31192400,65.53
591,6/10/2011,65.51,65.07,68.05,4.067900290564301,-3.9088905216752337,30422351,65.39
592,6/17/2011,65.10,64.64,66.23,0.9295946357817729,-0.9210327646081827,43194922,65.62
593,6/24/2011,65.37,64.43,66.82,2.9108270445094506,-2.8284944627356876,49806614,64.93
