,date,open,low,high,h_o,pct_chg,volume,close
240,1/7/2011,36.29,35.85,37.35,0.0,0.0,72760487,37.35
241,1/14/2011,37.26,34.23,37.61,9.874379199532582,-8.986971550119655,108158891,34.23
242,1/21/2011,34.07,33.48,34.30,1.1799410029498483,-1.1661807580174888,131132702,33.90
243,1/28/2011,33.99,33.00,33.99,2.7819776232234705,-2.70667843483378,110066602,33.07
244,2/4/2011,33.29,32.51,34.04,3.496503496503492,-3.3783783783783745,114880019,32.89
245,2/11/2011,32.94,32.74,33.30,0.6954944058058569,-0.6906906906906813,62039482,33.07
246,2/18/2011,32.97,32.65,33.19,1.035007610350065,-1.0244049412473526,54419625,32.85
247,2/25/2011,32.75,31.85,32.80,1.894998446722583,-1.8597560975609742,57467917,32.19
248,3/4/2011,32.20,32.19,33.36,0.9074410163339297,-0.8992805755395598,128028062,33.06
249,3/11/2011,33.00,32.45,33.48,2.2914757103574703,-2.2401433691756276,91319466,32.73
250,3/18/2011,32.50,31.06,32.60,2.1623315575054884,-2.116564417177918,86394177,31.91
251,3/25/2011,32.09,32.04,32.90,1.013202333435672,-1.0030395136778063,66135182,32.57
620,4/1/2011,32.54,32.39,33.48,1.239794375566969,-1.2246117084826662,60348951,33.07
621,4/8/2011,33.34,33.01,33.70,0.08910008910009247,-0.08902077151335648,64799122,33.67
622,4/15/2011,33.68,33.27,34.97,1.3329469718922076,-1.3154132113239945,85533686,34.51
623,4/21/2011,34.20,33.51,34.29,0.7344300822561692,-0.7290755322251385,47226349,34.04
624,4/29/2011,33.70,33.63,36.25,0.8344923504867793,-0.8275862068965439,83960030,35.95
625,5/6/2011,36.44,35.95,36.75,0.9892827699917544,-0.9795918367346923,82810421,36.39
626,5/13/2011,36.11,36.10,37.30,0.593311758360299,-0.5898123324396752,59693542,37.08
627,5/20/2011,37.06,36.69,37.65,1.5920129519697686,-1.567065073041159,74833386,37.06
628,5/27/2011,36.67,36.10,37.04,2.2921844794255684,-2.240820734341248,52416661,36.21
629,6/3/2011,36.39,35.76,36.76,2.6242322724734723,-2.557127312295968,46564832,35.82
630,6/10/2011,35.70,35.36,36.38,2.623413258110013,-2.556349642660802,57259558,35.45
631,6/17/2011,35.03,34.99,35.88,1.3845719129697711,-1.3656633221850667,57933495,35.39
632,6/24/2011,35.29,34.50,35.97,4.109985528219976,-3.947734222963586,63163236,34.55
