,date,open,low,high,h_o,pct_chg,volume,close
264,1/7/2011,17.70,17.62,18.38,0.21810250817883942,-0.21762785636561016,386804789,18.34
265,1/14/2011,18.22,18.13,18.48,0.7633587786259572,-0.7575757575757607,218359623,18.34
266,1/21/2011,18.35,18.02,18.49,0.7080610021786439,-0.7030827474310385,159663706,18.36
267,1/28/2011,18.33,18.14,18.76,3.360881542699741,-3.2515991471215506,277157388,18.15
268,2/4/2011,18.19,18.16,19.39,0.46632124352331533,-0.46415678184631176,358819619,19.30
269,2/11/2011,19.27,18.62,19.30,2.4960169941582713,-2.435233160621774,180912039,18.83
270,2/18/2011,18.82,18.72,19.39,1.0422094841063017,-1.031459515214024,153153528,19.19
271,2/25/2011,18.88,18.67,19.13,1.4316012725344622,-1.4113957135389419,177077740,18.86
272,3/4/2011,18.95,18.90,19.90,1.2207527975584864,-1.2060301507537612,257979737,19.66
273,3/11/2011,19.64,19.30,19.75,1.4381099126861898,-1.4177215189873476,195391037,19.47
274,3/18/2011,19.45,19.15,20.29,0.54509415262636,-0.542138984721535,457640533,20.18
275,3/25/2011,20.32,19.74,20.50,0.7371007371007301,-0.7317073170731638,215914627,20.35
646,4/1/2011,20.42,20.11,20.57,0.9322865554465225,-0.9236752552260635,170424399,20.38
647,4/8/2011,20.55,20.15,20.61,0.7331378299120165,-0.7278020378456991,199157969,20.46
648,4/15/2011,20.55,20.33,20.75,1.0716025328787084,-1.0602409638554162,209481824,20.53
649,4/21/2011,20.32,19.79,20.88,5.507832238504295,-5.2203065134099615,143338656,19.79
650,4/29/2011,19.95,19.90,21.06,0.42918454935622247,-0.4273504273504267,205782608,20.97
651,5/6/2011,21.14,20.07,21.20,3.163017031630163,-3.06603773584905,273973053,20.55
652,5/13/2011,20.53,20.45,20.99,0.3346080305927186,-0.33349213911384823,180162306,20.92
653,5/20/2011,20.84,20.68,21.28,2.8516191396810044,-2.7725563909774427,249113161,20.69
654,5/27/2011,20.49,20.35,20.98,0.23889154323937273,-0.23832221163012732,162550095,20.93
655,6/3/2011,21.00,20.66,21.45,2.927063339731283,-2.8438228438228412,169014117,20.84
656,6/10/2011,20.82,20.04,20.97,4.276479363500743,-4.101096804959464,196181321,20.11
657,6/17/2011,20.08,20.03,20.73,2.3198420533070028,-2.2672455378678187,229372501,20.26
658,6/24/2011,20.09,20.08,20.96,4.382470119521926,-4.19847328244276,259247639,20.08
