,date,open,low,high,h_o,pct_chg,volume,close
276,1/7/2011,64.39,64.00,65.08,0.8992248062015478,-0.891210817455437,52323352,64.50
277,1/14/2011,64.40,63.40,65.53,0.0,0.0,41932473,65.53
278,1/21/2011,65.65,65.05,65.95,0.060688818085277284,-0.06065200909781084,46213962,65.91
279,1/28/2011,65.90,63.14,66.95,4.283489096573208,-4.1075429424943986,70042160,64.20
280,2/4/2011,64.35,62.30,64.36,1.1790598962427292,-1.1653200745804848,57201539,63.61
281,2/11/2011,63.95,63.80,64.97,0.370770894484775,-0.369401262120971,51999812,64.73
282,2/18/2011,64.80,63.40,64.80,0.7776049766718507,-0.771604938271605,36098973,64.30
283,2/25/2011,63.73,62.53,64.40,2.4824952259707227,-2.4223602484472084,47748854,62.84
284,3/4/2011,62.80,61.56,63.65,2.611639529260031,-2.5451688923802003,59801160,62.03
285,3/11/2011,62.00,61.12,62.30,1.3172873637989837,-1.300160513643652,52731797,61.49
286,3/18/2011,61.04,59.70,61.39,1.3036303630363022,-1.2868545365694726,66311521,60.60
287,3/25/2011,60.96,60.54,61.52,1.0512483574244424,-1.0403120936280894,41351155,60.88
659,4/1/2011,61.08,60.61,62.30,0.35438144329896726,-0.35313001605136257,43453701,62.08
660,4/8/2011,62.17,61.47,62.33,0.6946688206785133,-0.6898764639820307,38792072,61.90
661,4/15/2011,62.02,61.90,64.21,0.046743533811135746,-0.04672169444009801,51918017,64.18
662,4/21/2011,63.67,63.27,64.34,1.6911648490595863,-1.6630400994715577,29487333,63.27
663,4/29/2011,63.08,62.60,65.10,0.30816640986130756,-0.3072196620583543,53544624,64.90
664,5/6/2011,65.24,64.90,66.50,1.8844798529186517,-1.849624060150382,55046479,65.27
665,5/13/2011,64.93,64.86,67.31,0.6730481603350327,-0.6685485069083388,49677302,66.86
666,5/20/2011,66.66,66.51,67.72,0.5344418052256524,-0.5316007088009442,47738539,67.36
667,5/27/2011,66.80,65.70,67.20,1.510574018126888,-1.488095238095238,37114265,66.20
668,6/3/2011,66.33,56.57,67.00,2.399510927708991,-2.343283582089542,37312488,65.43
669,6/10/2011,65.36,64.65,65.64,1.4528593508500738,-1.4320536258379002,48599369,64.70
670,6/17/2011,64.65,63.33,65.22,0.8192920080383385,-0.8126341613002164,46861128,64.69
671,6/24/2011,64.51,62.44,65.29,4.313788145071102,-4.135395925869203,53025186,62.59
