,date,open,low,high,h_o,pct_chg,volume,close
288,1/7/2011,29.68,28.66,30.10,4.332755632582322,-4.152823920265781,157834347,28.85
289,1/14/2011,28.54,27.71,28.61,0.6331340133661615,-0.6291506466270526,170616350,28.43
290,1/21/2011,28.55,28.15,28.59,0.9177550300035354,-0.9094088842252591,130584257,28.33
291,1/28/2011,28.46,27.41,28.95,5.311022189887235,-5.043177892918829,171464186,27.49
292,2/4/2011,27.42,27.20,28.06,0.32177332856632057,-0.3207412687099068,118469916,27.97
293,2/11/2011,27.97,27.63,28.59,0.4214963119072743,-0.4197271773347359,128889979,28.47
294,2/18/2011,28.40,28.00,28.57,0.0,0.0,88244232,28.57
295,2/25/2011,28.32,27.61,28.42,1.030927835051556,-1.0204081632653157,94960503,28.13
296,3/4/2011,28.25,27.79,28.53,2.1848137535816594,-2.138100245355764,118740085,27.92
297,3/11/2011,27.95,27.73,28.89,1.51089248067463,-1.4884042921426088,139153253,28.46
298,3/18/2011,28.32,27.27,28.42,1.7179670722977824,-1.6889514426460255,153806769,27.94
299,3/25/2011,28.77,27.95,29.10,0.8665511265164645,-0.8591065292096219,169105318,28.85
672,4/1/2011,29.02,28.90,30.97,1.1430437622468905,-1.13012592831772,384284485,30.62
673,4/8/2011,30.74,29.99,31.00,0.9443178117876885,-0.9354838709677392,148206324,30.71
674,4/15/2011,30.75,30.01,30.84,0.6199021207177856,-0.6160830090791222,108080405,30.65
675,4/21/2011,30.42,29.91,30.68,0.0,0.0,76563904,30.68
676,4/29/2011,30.67,30.43,31.82,2.2493573264781466,-2.1998742928975465,112339712,31.12
677,5/6/2011,31.60,31.03,31.94,2.1753039027511187,-2.1289918597370057,156030184,31.26
678,5/13/2011,31.20,31.05,31.79,1.2098057943330118,-1.1953444479396007,92523592,31.41
679,5/20/2011,31.32,30.90,31.77,1.4367816091954,-1.4164305949008476,102539987,31.32
680,5/27/2011,31.00,30.92,31.30,0.031959092361781925,-0.031948881789142375,73854767,31.29
681,6/3/2011,31.48,30.52,31.65,3.2626427406199023,-3.1595576619273307,85085937,30.65
682,6/10/2011,30.55,30.11,30.61,0.8899143045484494,-0.8820646847435465,95255686,30.34
683,6/17/2011,30.28,30.17,30.95,0.5849853753656149,-0.581583198707592,114504788,30.77
684,6/24/2011,30.66,30.29,31.33,2.923784494086718,-2.840727736993288,116043866,30.44
