,date,open,low,high,h_o,pct_chg,volume,close
300,1/7/2011,56.09,52.88,56.34,5.644102756422286,-5.342563010294649,20010115,53.33
301,1/14/2011,53.12,52.96,54.84,0.3844041735310284,-0.3829321663019709,14820631,54.63
302,1/21/2011,54.62,54.07,55.24,0.43636363636364,-0.4344677769732114,13631048,55.00
303,1/28/2011,55.14,54.97,57.78,3.5298333631965577,-3.409484250605744,26595621,55.81
304,2/4/2011,55.81,55.81,57.52,0.19160425013065066,-0.19123783031990008,27494461,57.41
305,2/11/2011,57.32,56.97,59.12,0.22037633497202141,-0.2198917456021574,19539527,58.99
306,2/18/2011,58.84,58.53,60.92,0.0,0.0,14107769,60.92
307,2/25/2011,60.60,59.05,61.15,2.6006711409395926,-2.5347506132461115,20849299,59.60
308,3/4/2011,59.60,58.53,60.02,1.419398445420756,-1.3995334888370599,20284170,59.18
309,3/11/2011,59.26,57.88,59.72,1.4266304347826024,-1.4065639651707909,15980871,58.88
310,3/18/2011,58.47,57.51,59.51,2.4974164657251046,-2.4365652831456828,24832210,58.06
311,3/25/2011,58.44,57.99,59.28,0.5086469989827133,-0.5060728744939343,14126721,58.98
685,4/1/2011,59.09,58.37,60.01,0.502428403952432,-0.4999166805532364,16608737,59.71
686,4/8/2011,59.83,59.11,60.00,0.7049345417925507,-0.7000000000000028,12307164,59.58
687,4/15/2011,59.85,59.00,60.85,1.7558528428093716,-1.725554642563688,15459751,59.80
688,4/21/2011,59.32,58.07,61.32,0.0,0.0,10135730,61.32
689,4/29/2011,61.32,60.91,63.37,0.14222503160555675,-0.14202303929303506,16046782,63.28
690,5/6/2011,63.56,62.85,64.17,1.166640390982188,-1.1531868474365,14335889,63.43
691,5/13/2011,63.23,62.18,64.09,2.823680410717159,-2.7461382430956545,14388418,62.33
692,5/20/2011,62.52,62.13,63.11,1.3815261044176697,-1.3627000475360473,11795580,62.25
693,5/27/2011,61.74,60.36,62.00,0.7802340702210612,-0.7741935483870918,12344531,61.52
694,6/3/2011,61.95,60.59,62.25,1.748937561294541,-1.7188755020080326,13535632,61.18
695,6/10/2011,61.35,58.71,61.68,4.171592636378988,-4.004539559014265,18091902,59.21
696,6/17/2011,59.12,57.36,59.32,2.417127071823202,-2.360080917060011,20647583,57.92
697,6/24/2011,57.57,56.12,58.28,2.8228652081863115,-2.745367192862048,20959450,56.68
