,date,open,low,high,h_o,pct_chg,volume,close
312,1/7/2011,79.19,78.40,79.75,0.8472432979261529,-0.8401253918495319,15797841,79.08
313,1/14/2011,78.27,77.81,79.90,1.0369246332827609,-1.026282853566968,12713121,79.08
314,1/21/2011,79.28,78.98,80.50,0.3740648379052333,-0.37267080745341263,16471934,80.20
315,1/28/2011,80.26,80.26,83.08,2.026280240697521,-1.9860375541646504,23565688,81.43
316,2/4/2011,81.80,80.66,82.60,0.0969461948618496,-0.0968523002421287,15689029,82.52
317,2/11/2011,82.85,82.73,85.46,0.3051643192488156,-0.30423589983617005,16641148,85.20
318,2/18/2011,85.07,84.25,85.44,0.5058228443712417,-0.5032771535580438,11922670,85.01
319,2/25/2011,84.54,81.81,84.69,1.5833033465275197,-1.5586255756287557,15551183,83.37
320,3/4/2011,83.58,81.42,84.24,1.6654598117306245,-1.638176638176633,19167224,82.86
321,3/11/2011,83.03,80.26,84.05,3.407972440944877,-3.295657346817366,22004496,81.28
322,3/18/2011,80.74,77.05,81.23,1.3348303393213665,-1.317247322417835,26234929,80.16
323,3/25/2011,81.30,80.57,83.59,0.08381226053640732,-0.08374207441082353,19032729,83.52
698,4/1/2011,83.75,83.26,85.95,0.7383966244725853,-0.7329842931937285,16314122,85.32
699,4/8/2011,85.66,84.18,86.00,1.4031364225916727,-1.3837209302325555,11690792,84.81
700,4/15/2011,85.00,82.70,85.56,2.5284601557819046,-2.466105656848994,17017620,83.45
701,4/21/2011,82.60,81.10,87.10,0.0,0.0,16859647,87.10
702,4/29/2011,87.00,86.29,89.80,0.245590533601249,-0.2449888641425377,20800024,89.58
703,5/6/2011,90.03,85.80,90.67,1.6365878264768614,-1.610234917833912,21797524,89.21
704,5/13/2011,88.88,88.35,90.18,1.3486176668914394,-1.330671989354627,17420630,88.98
705,5/20/2011,88.46,86.65,89.25,2.0,-1.9607843137254901,22021867,87.50
706,5/27/2011,86.41,85.21,86.72,0.4517548940113525,-0.449723247232473,15097865,86.33
707,6/3/2011,87.00,82.43,87.79,5.466122056703522,-5.1828226449481845,21179642,83.24
708,6/10/2011,82.93,82.60,84.52,2.2007255139056747,-2.1533364884051034,20109892,82.70
709,6/17/2011,82.92,82.52,85.26,0.8158921603405604,-0.8092892329345671,22074891,84.57
710,6/24/2011,84.36,83.69,86.21,2.2293371279497163,-2.18072149402621,20775217,84.33
