,date,open,low,high,h_o,pct_chg,volume,close
324,1/7/2011,36.06,35.41,37.70,4.926245477317014,-4.694960212201599,141938064,35.93
325,1/14/2011,36.55,34.98,36.58,3.1584884376762474,-3.0617823947512233,130610954,35.46
326,1/21/2011,35.38,34.35,35.51,1.602288984263219,-1.577020557589398,108296302,34.95
327,1/28/2011,34.88,34.88,36.59,2.6943586865001428,-2.623667668761959,124127036,35.63
328,2/4/2011,35.64,35.38,36.48,0.4681905811071181,-0.4660087719298098,72890565,36.31
329,2/11/2011,36.30,35.77,36.77,1.044242923880194,-1.0334511830296507,78429505,36.39
330,2/18/2011,36.31,35.66,36.62,0.0,0.0,68915874,36.62
331,2/25/2011,36.24,35.34,36.32,0.9730330831248302,-0.9636563876652021,57673647,35.97
332,3/4/2011,36.06,35.85,36.94,2.3835920177383576,-2.328099621007037,80086312,36.08
333,3/11/2011,36.13,35.65,36.65,2.2315202231520144,-2.182810368349242,66137992,35.85
334,3/18/2011,35.74,33.36,35.84,0.0,0.0,124202175,35.84
335,3/25/2011,36.66,36.37,37.32,0.08045052292840209,-0.0803858520900352,79604168,37.29
711,4/1/2011,37.44,37.42,38.95,1.2477255003899246,-1.2323491655969292,96766651,38.47
712,4/8/2011,38.53,37.26,38.70,2.598091198303298,-2.532299741602077,62429599,37.72
713,4/15/2011,37.75,37.34,38.00,0.396301188903563,-0.39473684210525944,55355691,37.85
714,4/21/2011,37.60,36.91,38.00,2.953129233270126,-2.8684210526315876,37735134,36.91
715,4/29/2011,37.07,36.82,38.42,1.6940179989412403,-1.6657990629880284,68330713,37.78
716,5/6/2011,38.33,36.90,38.33,2.816523605150207,-2.7393686407513624,84281362,37.28
717,5/13/2011,37.28,36.95,37.68,1.1272141706924361,-1.114649681528667,50917728,37.26
718,5/20/2011,37.26,36.80,37.41,0.6998654104979758,-0.6950013365410266,53263954,37.15
719,5/27/2011,36.75,36.24,37.03,0.9817289337332953,-0.9721847150958666,43400125,36.67
720,6/3/2011,36.91,35.60,36.99,3.8170081392085304,-3.6766693701000253,50174214,35.63
721,6/10/2011,35.57,35.16,36.14,2.699630576868437,-2.6286662977310535,72100710,35.19
722,6/17/2011,35.23,34.94,35.92,1.1546043368065437,-1.1414253897550215,69585912,35.51
723,6/24/2011,35.35,35.20,36.17,0.472222222222227,-0.4700027647221501,82375230,36.00
