,date,open,low,high,h_o,pct_chg,volume,close
336,1/7/2011,54.23,53.76,55.07,1.8306213017751518,-1.7977120029053966,64231179,54.08
337,1/14/2011,53.65,53.54,55.36,1.0034665207078948,-0.9934971098265845,48929455,54.81
338,1/21/2011,55.11,54.71,56.27,0.9689574735331173,-0.9596587879865047,53009787,55.73
339,1/28/2011,55.39,55.30,57.90,2.1164021164021087,-2.0725388601036197,69546259,56.70
340,2/4/2011,56.45,55.39,56.58,0.9816169908977281,-0.9720749381406808,60981950,56.03
341,2/11/2011,56.07,55.30,56.73,1.867480696713951,-1.8332451965450365,49477410,55.69
342,2/18/2011,55.26,54.35,55.38,0.0,0.0,51556658,55.38
343,2/25/2011,53.81,51.52,54.01,4.367149758454103,-4.184410294389925,92696912,51.75
344,3/4/2011,51.75,51.68,52.60,1.0178605723065126,-1.0076045627376446,74964203,52.07
345,3/11/2011,52.26,51.75,53.88,2.452937820878492,-2.3942093541202656,69185186,52.59
346,3/18/2011,52.35,50.97,52.52,1.9409937888198756,-1.904036557501904,63198175,51.52
347,3/25/2011,51.73,51.38,52.95,1.146131805157596,-1.1331444759206826,53385178,52.35
724,4/1/2011,52.31,51.89,52.74,1.170151544216381,-1.1566173682214627,44519431,52.13
725,4/8/2011,52.31,52.06,53.24,1.33231823372669,-1.3148009015777664,48382262,52.54
726,4/15/2011,52.54,52.40,53.96,0.7656395891690079,-0.7598220904373678,45662991,53.55
727,4/21/2011,53.08,52.91,53.95,0.6905561776782466,-0.6858202038925014,23073491,53.58
728,4/29/2011,53.60,53.23,55.16,0.32739177882866444,-0.3263234227701228,47159044,54.98
729,5/6/2011,55.08,53.20,55.79,1.3994910941475753,-1.3801756587201937,46668727,55.02
730,5/13/2011,54.97,54.70,56.03,0.5563531945441534,-0.5532750312332719,42649301,55.72
731,5/20/2011,55.61,54.95,56.47,2.1342014830891656,-2.089605100053125,56695842,55.29
732,5/27/2011,54.90,54.10,55.50,1.462522851919556,-1.4414414414414363,35560853,54.70
733,6/3/2011,54.88,53.04,55.22,2.9071934401789084,-2.8250633828323113,48156051,53.66
734,6/10/2011,53.86,52.69,54.30,2.9969650986342913,-2.9097605893185974,58746396,52.72
735,6/17/2011,52.91,51.79,53.29,0.889814464218097,-0.8819665978607597,68996550,52.82
736,6/24/2011,52.70,52.35,53.70,2.4613623354321814,-2.40223463687152,75602550,52.41
